Group ,Definition
F16G,"Belts, Cables, Or Ropes, Predominantly Used For Driving Purposes; Chains; Fittings Predominantly Used Therefor"
F16H,Gearing
F16J,Pistons {
F16K,Valves; Taps; Cocks; Actuating-Floats; Devices For Venting Or Aerating {
F16L,"Pipes; Joints Or Fittings For Pipes; Supports For Pipes, Cables Or Protective Tubing; Means For Thermal Insulation In General"
F16M,"Frames, Casings, Or Beds Of Engines Or Other Machines Or Apparatus Not Specific To An Engine, Machine, Or Apparatus Provided For Elsewhere; Stands Or Supports"
F16N,Lubricating
F16P,Safety Devices In General; {Safety Devices For Presses}
F16S,"Constructional Elements In General; Structures Built-Up From Such Elements, In General"
F16T,Steam Traps Or Like Apparatus For Draining-Off Liquids From Enclosures Predominantly Containing Gases Or Vapours
F17B,Gas-Holders Of Variable Capacity 
F17C,"Vessels For Containing Or Storing Compressed, Liquefied Or Solidified Gases; Fixed-Capacity Gas-Holders; Filling Vessels With, Or Discharging From Vessels, Compressed, Liquefied, Or Solidified Gases "
F17D,Pipe-Line Systems; Pipe-Lines 
F21H,Incandescent Mantles; Other Incandescent Bodies Heated By Combustion
F21K,Non-Electric Light Sources Using Luminescence; Light Sources Using Electrochemiluminescence; Light Sources Using Charges Of Combustible Material; Light Sources Using Semiconductor Devices As Light-Generating Elements; Light Sources Not Otherwise Provided For
F21L,"Lighting Devices Or Systems Thereof, Being Portable Or Specially Adapted For Transportation"
F21S,Non-Portable Lighting Devices; Systems Thereof; Vehicle Lighting Devices Specially Adapted For Vehicle Exteriors
F21V,"Functional Features Or Details Of Lighting Devices Or Systems Thereof; Structural Combinations Of Lighting Devices With Other Articles, Not Otherwise Provided For"
F21W,"Indexing Scheme Associated With Subclasses F21K, F21L, F21S And F21V, Relating To Uses Or Applications Of Lighting Devices Or Systems"
F21Y,"Indexing Scheme Associated With Subclasses F21K, F21L, F21S And F21V, Relating To The Form Or The Kind Of The Light Sources Or Of The Colour Of The Light Emitted"
F22B,Methods Of Steam Generation; Steam Boilers 
F22D,"Preheating, Or Accumulating Preheated, Feed-Water For Steam Generation; Feed-Water Supply For Steam Generation; Controlling Water Level For Steam Generation; Auxiliary Devices For Promoting Water Circulation Within Steam Boilers"
F22G,Superheating Of Steam 
F23B,Methods Or Apparatus For Combustion Using Only Solid Fuel 
F23C,Methods Or Apparatus For Combustion Using Fluid Fuel Or Solid Fuel Suspended In  {A Carrier Gas Or} Air  
F23D,Burners 
F23G,Cremation Furnaces; Consuming Waste Products By Combustion
F23H,Grates 
F23J,Removal Or Treatment Of Combustion Products Or Combustion Residues; Flues  
F23K,Feeding Fuel To Combustion Apparatus 
F23L,Supplying Air Or Non-Combustible Liquids Or Gases To Combustion Apparatus In General  
F23M,"Casings, Linings, Walls Or Doors Specially Adapted For Combustion Chambers"
F23N,Regulating Or Controlling Combustion 
F23Q,Ignition 
F23R,Generating Combustion Products Of High Pressure Or High Velocity
F24B,Domestic Stoves Or Ranges For Solid Fuels
F24C,"Other Domestic Stoves Or Ranges; Details Of Domestic Stoves Or Ranges, Of General Application "
F24D,Domestic- Or Space-Heating Systems
F24F,Air-Conditioning; Air-Humidification; Ventilation; Use Of Air Currents For Screening 
F24H,Fluid Heaters
F24S,Solar Heat Collectors; Solar Heat Systems 
F24T,Geothermal Collectors; Geothermal Systems
F24V,"Collection, Production Or Use Of Heat Not Otherwise Provided For"
F25B,"Refrigeration Machines, Plants Or Systems; Combined Heating And Refrigeration Systems; Heat-Pump Systems "
F25C,"Producing, Working Or Handling Ice"
F25D,Refrigerators; Cold Rooms; Ice-Boxes; Cooling Or Freezing Apparatus Not Covered By Any Other Subclass 
F25J,"Liquefaction, Solidification Or Separation Of Gases Or Gaseous {Or Liquefied Gaseous} Mixtures By Pressure And Cold Treatment {Or By Bringing Them Into The Supercritical State "
F26B,Drying Solid Materials Or Objects By Removing Liquid Therefrom 
F27B,"Furnaces, Kilns, Ovens, Or Retorts In General; Open Sintering Or Like Apparatus"
F27D,"Details Or Accessories Of Furnaces, Kilns, Ovens, Or Retorts, In So Far As They Are Of Kinds Occurring In More Than One Kind Of Furnace "
F27M,"Indexing Scheme Relating To Aspects Of The Charges Or Furnaces, Kilns, Ovens Or Retorts"
F28B,Steam Or Vapour Condensers 
F28C,"Heat-Exchange Apparatus, Not Provided For In Another Subclass, In Which The Heat-Exchange Media Come Into Direct Contact Without Chemical Interaction "
F28D,"Heat-Exchange Apparatus, Not Provided For In Another Subclass, In Which The Heat-Exchange Media Do Not Come Into Direct Contact "
F28F,"Details Of Heat-Exchange And Heat-Transfer Apparatus, Of General Application "
F28G,Cleaning Of Internal Or External Surfaces Of Heat-Exchange Or Heat-Transfer Conduits
F41A,Functional Features Or Details Common To Both Smallarms And Ordnance
F41B,Weapons For Projecting Missiles Without Use Of Explosive Or Combustible Propellant Charge; Weapons Not Otherwise Provided For 
F41C,Smallarms
F41F,Apparatus For Launching Projectiles Or Missiles From Barrels
F41G,Weapon Sights; Aiming 
F41H,Armour; Armoured Turrets; Armoured Or Armed Vehicles; Means Of Attack Or Defence
F41J,Targets; Target Ranges; Bullet Catchers {
F42B,Explosive Charges
F42C,Ammunition Fuzes 
F42D,Blasting 
G01B,"Measuring Length, Thickness Or Similar Linear Dimensions; Measuring Angles; Measuring Areas; Measuring Irregularities Of Surfaces Or Contours {"
G01C,"Measuring Distances, Levels Or Bearings; Surveying; Navigation; Gyroscopic Instruments; Photogrammetry Or Videogrammetry "
G01D,Measuring Not Specially Adapted For A Specific Variable; Arrangements For Measuring Two Or More Variables Not Covered In A Single Other Subclass; Tariff Metering Apparatus; Measuring Or Testing Not Otherwise Provided For
G01F,"Measuring Volume, Volume Flow, Mass Flow Or Liquid Level; Metering By Volume"
G01G,Weighing 
G01H,"Measurement Of Mechanical Vibrations Or Ultrasonic, Sonic Or Infrasonic Waves"
G01J,"Measurement Of Intensity, Velocity, Spectral Content, Polarisation, Phase Or Pulse Characteristics Of Infra-Red, Visible Or Ultra-Violet Light; Colorimetry; Radiation Pyrometry "
G01K,Measuring Temperature; Measuring Quantity Of Heat; Thermally-Sensitive Elements Not Otherwise Provided For 
G01L,"Measuring Force, Stress, Torque, Work, Mechanical Power, Mechanical Efficiency, Or Fluid Pressure "
G01M,"Testing Static Or Dynamic Balance Of Machines Or Structures; Testing Of Structures Or Apparatus, Not Otherwise Provided For"
G01N,Investigating Or Analysing Materials By Determining Their Chemical Or Physical Properties 
G01P,"Measuring Linear Or Angular Speed, Acceleration, Deceleration, Or Shock; Indicating Presence, Absence, Or Direction, Of Movement "
G01Q,Scanning-Probe Techniques Or Apparatus; Applications Of Scanning-Probe Techniques
G01R,Measuring Electric Variables; Measuring Magnetic Variables 
G01S,Radio Direction-Finding; Radio Navigation; Determining Distance Or Velocity By Use Of Radio Waves; Locating Or Presence-Detecting By Use Of The Reflection Or Reradiation Of Radio Waves; Analogous Arrangements Using Other Waves
G01T,Measurement Of Nuclear Or X-Radiation 
G01V,Geophysics; Gravitational Measurements; Detecting Masses Or Objects 
G01W,Meteorology 
G02B,"Optical Elements, Systems, Or Apparatus "
G02C,Spectacles; Sunglasses Or Goggles Insofar As They Have The Same Features As Spectacles; Contact Lenses 
G02F,"Devices Or Arrangements, The Optical Operation Of Which Is Modified By Changing The Optical Properties Of The Medium Of The Devices Or Arrangements For The Control Of The Intensity, Colour, Phase, Polarisation Or Direction Of Light"
G03B,Apparatus Or Arrangements For Taking Photographs Or For Projecting Or Viewing Them; Apparatus Or Arrangements Employing Analogous Techniques Using Waves Other Than Optical Waves; Accessories Therefor 
G03C,Photosensitive Materials For Photographic Purposes 
G03D,Apparatus For Processing Exposed Photographic Materials 
G03F,Photomechanical Production Of Textured Or Patterned Surfaces
G03G,Electrography; Electrophotography; Magnetography 
G03H,Holographic Processes Or Apparatus 
G04B,"Mechanically-Driven Clocks Or Watches; Mechanical Parts Of Clocks Or Watches In General; Time Pieces Using The Position Of The Sun, Moon Or Stars "
G04C,Electromechanical Clocks Or Watches 
G04D,Apparatus Or Tools Specially Designed For Making Or Maintaining Clocks Or Watches
G04F,Time-Interval Measuring 
G04G,Electronic Time-Pieces
G04R,Radio-Controlled Time-Pieces
G05B,Control Or Regulating Systems In General; Functional Elements Of Such Systems; Monitoring Or Testing Arrangements For Such Systems Or Elements 
G05D,Systems For Controlling Or Regulating Non-Electric Variables 
G05F,Systems For Regulating Electric Or Magnetic Variables 
G05G,Control Devices Or Systems Insofar As Characterised By Mechanical Features Only 
G06C,Digital Computers In Which All The Computation Is Effected Mechanically 
G06D,Digital Fluid-Pressure Computing Devices
G06E,Optical Computing Devices; {Computing Devices Using Other Radiations With Similar Properties} 
G06F,Electric Digital Data Processing 
G06G,Analogue Computers 
G06J,Hybrid Computing Arrangements 
G06K,Recognition Of Data; Presentation Of Data; Record Carriers; Handling Record Carriers
G06M,Counting Mechanisms; Counting Of Objects Not Otherwise Provided For 
G06N,Computer Systems Based On Specific Computational Models
G06Q,"Data Processing Systems Or Methods, Specially Adapted For Administrative, Commercial, Financial, Managerial, Supervisory Or Forecasting Purposes; Systems Or Methods Specially Adapted For Administrative, Commercial, Financial, Managerial, Supervisory Or Forecasting Purposes, Not Otherwise Provided For"
G06T,"Image Data Processing Or Generation, In General"
G07B,Ticket-Issuing Apparatus; Fare-Registering Apparatus; Franking Apparatus
G07C,"Time Or Attendance Registers; Registering Or Indicating The Working Of Machines; Generating Random Numbers; Voting Or Lottery Apparatus; Arrangements, Systems Or Apparatus For Checking Not Provided For Elsewhere "
G07D,Handling Of Coins Or Valuable Papers
G07F,Coin-Freed Or Like Apparatus 
G07G,"Registering The Receipt Of Cash, Valuables, Or Tokens "
G08B,Signalling Or Calling Systems; Order Telegraphs; Alarm Systems {
G08C,"Transmission Systems For Measured Values, Control Or Similar Signals "
G08G,Traffic Control Systems 
G09B,"Educational Or Demonstration Appliances; Appliances For Teaching, Or Communicating With, The Blind, Deaf Or Mute; Models; Planetaria; Globes; Maps; Diagrams "
G09C,Coding Or Ciphering Apparatus For Cryptographic Or Other Purposes Involving The Need For Secrecy 
G09D,Railway Or Like Time Or Fare Tables; Perpetual Calendars 
G09F,Displaying; Advertising; Signs; Labels Or Name-Plates; Seals
G09G,Arrangements Or Circuits For Control Of Indicating Devices Using Static Means To Present Variable Information 
G10B,"Organs, Harmoniums Or Similar Wind Musical Instruments With Associated Blowing Apparatus "
G10C,"Pianos, Harpsichords, Spinets Or Similar Stringed Musical Instruments With One Or More Keyboards "
G10D,Stringed Musical Instruments; Wind Musical Instruments; Accordions Or Concertinas; Percussion Musical Instruments; Aeolian Harps; Singing-Flame Musical Instruments; Musical Instruments Not Otherwise Provided For 
G10F,Automatic Musical Instruments 
G10G,Aids For Music 
G10H,Electrophonic Musical Instruments 
G10K,Sound-Producing Devices 
G10L,Speech Analysis Or Synthesis; Speech Recognition; Speech Or Voice Processing; Speech Or Audio Coding Or Decoding
G11B,Information Storage Based On Relative Movement Between Record Carrier And Transducer 
G11C,Static Stores 
G12B,"Constructional Details Of Instruments, Or Comparable Details Of Other Apparatus, Not Otherwise Provided For"
G16B,"Bioinformatics, I.E. Information And Communication Technology [Ict] Specially Adapted For Genetic Or Protein-Related Data Processing In Computational Molecular Biology"
G16C,Computational Chemistry; Chemoinformatics; Computational Materials Science
G16H,"Healthcare Informatics, I.E. Information And Communication Technology [Ict] Specially Adapted For The Handling Or Processing Of Medical Or Healthcare Data"
G16Y,Information And Communication Technology Specially Adapted For The Internet Of Things [Iot]
G16Z,"Information And Communication Technology [Ict] Specially Adapted For Specific Application Fields, Not Otherwise Provided For"
G21B,Fusion Reactors 
G21C,Nuclear Reactors 
G21D,Nuclear Power Plant
G21F,"Protection Against X-Radiation, Gamma Radiation, Corpuscular Radiation Or Particle Bombardment; Treating Radioactively Contaminated Material; Decontamination Arrangements Therefor "
G21G,Conversion Of Chemical Elements; Radioactive Sources 
G21H,"Obtaining Energy From Radioactive Sources; Applications Of Radiation From Radioactive Sources, Not Otherwise Provided For; Utilising Cosmic Radiation "
G21J,Nuclear Explosives; Applications Thereof 
G21K,Techniques For Handling Particles Or Ionising Radiation Not Otherwise Provided For; Irradiation Devices; Gamma Ray Or X-Ray Microscopes
H01B,"Cables; Conductors; Insulators; Selection Of Materials For Their Conductive, Insulating Or Dielectric Properties "
H01C,Resistors
H01F,Magnets; Inductances; Transformers; Selection Of Materials For Their Magnetic Properties 
H01G,"Capacitors; Capacitors, Rectifiers, Detectors, Switching Devices Or Light-Sensitive Devices, Of The Electrolytic Type "
H01H,Electric Switches; Relays; Selectors; Emergency Protective Devices 
H01J,Electric Discharge Tubes Or Discharge Lamps 
H01K,Electric Incandescent Lamps 
H01L,Semiconductor Devices; Electric Solid State Devices Not Otherwise Provided For 
H01M,Processes Or Means
H01P,"Waveguides; Resonators, Lines, Or Other Devices Of The Waveguide Type "
H01Q,"Antennas, I.E. Radio Aerials "
H01R,Electrically-Conductive Connections; Structural Associations Of A Plurality Of Mutually-Insulated Electrical Connecting Elements; Coupling Devices; Current Collectors
H01S,Devices Using The Process Of Light Amplification By Stimulated Emission Of Radiation [Laser] To Amplify Or Generate Light; Devices Using Stimulated Emission Of Electromagnetic Radiation In Wave Ranges Other Than Optical
H01T,Spark Gaps; Overvoltage Arresters Using Spark Gaps; Sparking Plugs; Corona Devices; Generating Ions To Be Introduced Into Non-Enclosed Gases 
H02B,"Boards, Substations, Or Switching Arrangements For The Supply Or Distribution Of Electric Power "
H02G,"Installation Of Electric Cables Or Lines, Or Of Combined Optical And Electric Cables Or Lines "
H02H,Emergency Protective Circuit Arrangements 
H02J,Circuit Arrangements Or Systems For Supplying Or Distributing Electric Power; Systems For Storing Electric Energy
H02K,Dynamo-Electric Machines 
H02M,"Apparatus For Conversion Between Ac And Ac, Between Ac And Dc, Or Between Dc And Dc, And For Use With Mains Or Similar Power Supply Systems; Conversion Of Dc Or Ac Input Power Into Surge Output Power; Control Or Regulation Thereof "
H02N,Electric Machines Not Otherwise Provided For
H02P,"Control Or Regulation Of Electric Motors, Electric Generators Or Dynamo-Electric Converters; Controlling Transformers, Reactors Or Choke Coils"
H02S,"Generation Of Electric Power By Conversion Of Infra-Red Radiation, Visible Light Or Ultraviolet Light"
H03B,"Generation Of Oscillations, Directly Or By Frequency-Changing, By Circuits Employing Active Elements Which Operate In A Non-Switching Manner; Generation Of Noise By Such Circuits "
H03C,Modulation 
H03D,Demodulation Or Transference Of Modulation From One Carrier To Another 
H03F,Amplifiers 
H03G,Control Of Amplification 
H03H,Impedance Networks
H03J,Tuning Resonant Circuits; Selecting Resonant Circuits 
H03K,Pulse Technique 
H03L,"Automatic Control, Starting, Synchronisation, Or Stabilisation Of Generators Of Electronic Oscillations Or Pulses "
H03M,Coding; Decoding; Code Conversion In General 
H04B,Transmission
H04H,Broadcast Communication 
H04J,Multiplex Communication 
H04K,Secret Communication; Jamming Of Communication
H04L,Transmission Of Digital Information
H04M,Telephonic Communication 
H04N,Pictorial Communication
H04Q,Selecting 
H04R,"Loudspeakers, Microphones, Gramophone Pick-Ups Or Like Acoustic Electromechanical Transducers; Deaf-Aid Sets; Public Address Systems "
H04S,Stereophonic Systems 
H04T,Indexing Scheme Relating To Standards For Electric Communication Technique 
H04W,Wireless Communication Networks 
H05B,Electric Heating; Electric Lighting Not Otherwise Provided For
H05C,"Electric Circuits Or Apparatus Specially Designed For Use In Equipment For Killing, Stunning, Or Guiding Living Beings "
H05F,Static Electricity; Naturally-Occurring Electricity 
H05G,X-Ray Technique 
H05H,Plasma Technique 
H05K,Printed Circuits; Casings Or Constructional Details Of Electric Apparatus; Manufacture Of Assemblages Of Electrical Components
Y10T,Technical Subjects Covered By Former Us Classification
Y10S,Technical Subjects Covered By Former Uspc Cross-Reference Art Collections [Xracs] And Digests
Y02E,"Reduction Of Greenhouse Gas [Ghg] Emissions, Related To Energy Generation, Transmission Or Distribution"
Y02P,Climate Change Mitigation Technologies In The Production Or Processing Of Goods
Y02T,Climate Change Mitigation Technologies Related To Transportation
Y02B,"Climate Change Mitigation Technologies Related To Buildings, E.G. Housing, House Appliances Or Related End-User Applications"
Y02A,Technologies For Adaptation To Climate Change
Y02D,"Climate Change Mitigation Technologies In Information And Communication Technologies [Ict], I.E. Information And Communication Technologies Aiming At The Reduction Of Their Own Energy Use"
Y02W,Climate Change Mitigation Technologies Related To Wastewater Treatment Or Waste Management
Y04S,"Systems Integrating Technologies Related To Power Network Operation, Communication Or Information Technologies For Improving The Electrical Power Generation, Transmission, Distribution, Management Or Usage, I.E. Smart Grids"
Y02C,"Capture, Storage, Sequestration Or Disposal Of Greenhouse Gases [Ghg]"
F24J,Production Or Use Of Heat Not Otherwise Provided For 
C06F,Matches; Manufacture Of Matches
A01P,"Biocidal, Pest Repellant, Pest Attractant Or Plant Growth Regulatory Activity Of Chemical Compounds Or Preparations"
G21Y,"Indexing Scheme Relating To Nuclear Reactors, Power Plants And Explosives, To Protection Against Radiation, To The Treatment Of Radioactively Contaminated Material, To Applications Of Radioactive Sources And To The Utilisation Of Cosmic Radiation"
H99Z,Subject Matter Not Otherwise Provided For In This Section
