group_id	Patent Number
A01B	3764
A01C	3335
A01D	5877
A01F	1905
A01G	6101
A01H	14027
A01J	815
A01K	12561
A01L	103
A01M	3422
A01N	12913
A01P	2
A21B	612
A21C	794
A21D	1254
A22B	549
A22C	1735
A23B	1432
A23C	1693
A23D	1608
A23F	938
A23G	2396
A23J	776
A23K	3407
A23L	13785
A23N	669
A23P	1857
A23V	7296
A23Y	519
A24B	1178
A24C	526
A24D	1157
A24F	2868
A41B	1195
A41C	850
A41D	6206
A41F	875
A41G	429
A41H	355
A42B	2801
A42C	210
A43B	5999
A43C	1648
A43D	886
A44B	2812
A44C	1809
A44D	351
A45B	996
A45C	4455
A45D	5150
A45F	3799
A46B	3702
A46D	548
A47B	8524
A47C	8279
A47D	1566
A47F	4435
A47G	6733
A47H	451
A47J	8705
A47K	4594
A47L	9297
A61B	146782
A61C	8830
A61D	909
A61F	55641
A61G	7428
A61H	7274
A61J	6491
A61K	130011
A61L	24604
A61M	54401
A61N	31677
A61P	115138
A61Q	15309
A62B	3013
A62C	2736
A62D	743
A63B	23001
A63C	1874
A63D	208
A63F	17719
A63G	1316
A63H	4064
A63J	595
A63K	126
B01B	167
B01D	41847
B01F	9805
B01J	34035
B01L	13518
B02B	82
B02C	3290
B03B	628
B03C	2193
B03D	551
B04B	1363
B04C	898
B05B	12341
B05C	4857
B05D	8992
B06B	3016
B07B	1520
B07C	2036
B08B	8290
B09B	1078
B09C	822
B21B	1861
B21C	1849
B21D	7002
B21F	777
B21G	102
B21H	391
B21J	1864
B21K	1390
B21L	92
B22C	1752
B22D	4272
B22F	9099
B23B	5617
B23C	2350
B23D	3323
B23F	495
B23G	296
B23H	1026
B23K	19594
B23P	7723
B23Q	5725
B24B	7817
B24C	1160
B24D	2574
B25B	7279
B25C	1345
B25D	1190
B25F	3000
B25G	1607
B25H	2020
B25J	12408
B26B	3073
B26D	4066
B26F	1802
B27B	1598
B27C	357
B27D	180
B27F	401
B27G	631
B27H	25
B27J	28
B27K	409
B27L	295
B27M	312
B27N	676
B28B	2887
B28C	470
B28D	1651
B29B	4882
B29C	45700
B29D	9774
B29K	18617
B29L	20321
B30B	2311
B31B	1989
B31C	77
B31D	799
B31F	1019
B32B	32472
B33Y	10913
B41B	13
B41C	995
B41D	25
B41F	3060
B41G	15
B41J	32885
B41K	235
B41L	171
B41M	6750
B41N	702
B41P	760
B42B	389
B42C	896
B42D	3132
B42F	720
B42P	305
B43K	1058
B43L	557
B43M	345
B44B	310
B44C	2061
B44D	695
B44F	774
B60B	4029
B60C	8363
B60D	1834
B60F	404
B60G	6133
B60H	5611
B60J	6382
B60K	27038
B60L	20862
B60M	473
B60N	12072
B60P	5805
B60Q	10346
B60R	36102
B60S	3582
B60T	11112
B60V	90
B60W	24355
B60Y	9524
B61B	888
B61C	697
B61D	1564
B61F	753
B61G	353
B61H	406
B61J	34
B61K	451
B61L	2182
B62B	3957
B62C	6
B62D	23893
B62H	644
B62J	3591
B62K	5476
B62L	753
B62M	3714
B63B	7795
B63C	1749
B63G	945
B63H	4128
B63J	568
B64B	483
B64C	16534
B64D	16714
B64F	3642
B64G	2643
B65B	10331
B65C	1137
B65D	32170
B65F	1666
B65G	15104
B65H	15952
B66B	3404
B66C	3434
B66D	1471
B66F	3534
B67B	728
B67C	1018
B67D	4188
B68B	76
B68C	116
B68F	6
B68G	330
B81B	6816
B81C	6427
B82B	436
B82Y	28525
C01B	17352
C01C	612
C01D	716
C01F	1935
C01G	5226
C01P	9325
C02F	14259
C03B	4854
C03C	8534
C04B	15330
C05B	518
C05C	647
C05D	621
C05F	1133
C05G	1115
C06B	749
C06C	250
C06D	239
C06F	5
C07B	5917
C07C	34563
C07D	54126
C07F	12990
C07G	250
C07H	6877
C07J	1325
C07K	47484
C08B	3329
C08C	1199
C08F	22337
C08G	27750
C08H	909
C08J	17396
C08K	24016
C08L	33039
C09B	4323
C09C	2916
C09D	24918
C09F	96
C09G	1320
C09H	7
C09J	9470
C09K	26099
C10B	1320
C10C	244
C10F	15
C10G	10276
C10H	6
C10J	1571
C10K	1030
C10L	4967
C10M	4475
C10N	4003
C11B	2959
C11C	1303
C11D	7658
C12C	414
C12F	126
C12G	348
C12H	362
C12J	25
C12L	9
C12M	5582
C12N	53443
C12P	12807
C12Q	27132
C12R	2062
C12Y	11754
C13B	224
C13K	638
C14B	96
C14C	160
C21B	758
C21C	801
C21D	5486
C22B	3041
C22C	12990
C22F	2757
C23C	28237
C23D	65
C23F	3022
C23G	787
C25B	2866
C25C	720
C25D	5658
C25F	682
C30B	6713
C40B	2335
D01B	65
D01C	45
D01D	2234
D01F	3615
D01G	303
D01H	325
D02G	1330
D02H	39
D02J	322
D03C	136
D03D	2031
D03J	65
D04B	1794
D04C	554
D04D	79
D04G	33
D04H	3363
D05B	1347
D05C	659
D05D	239
D06B	477
D06C	395
D06F	5293
D06G	15
D06H	220
D06J	10
D06L	266
D06M	2677
D06N	1126
D06P	1083
D06Q	193
D07B	895
D10B	3705
D21B	418
D21C	1440
D21D	322
D21F	1585
D21G	459
D21H	4397
D21J	180
E01B	1108
E01C	3876
E01D	689
E01F	1729
E01H	1423
E02B	2260
E02C	9
E02D	3879
E02F	7040
E03B	1385
E03C	3019
E03D	1872
E03F	1904
E04B	9424
E04C	4904
E04D	3445
E04F	6530
E04G	3278
E04H	7690
E05B	9040
E05C	3089
E05D	4488
E05F	5093
E05G	436
E05Y	7279
E06B	7825
E06C	969
E21B	37632
E21C	1075
E21D	746
E21F	521
F01B	942
F01C	1747
F01D	22027
F01K	2822
F01L	5558
F01M	3407
F01N	12826
F01P	3783
F02B	12888
F02C	12594
F02D	20426
F02F	2858
F02G	891
F02K	4448
F02M	16196
F02N	3794
F02P	3196
F03B	1853
F03C	378
F03D	6802
F03G	2032
F03H	282
F04B	10957
F04C	6103
F04D	14083
F04F	860
F05B	7346
F05C	1064
F05D	23501
F15B	6490
F15C	274
F15D	854
F16B	14821
F16C	14536
F16D	14675
F16F	9878
F16G	2085
F16H	26974
F16J	6941
F16K	17052
F16L	17017
F16M	8097
F16N	1438
F16P	800
F16S	47
F16T	141
F17B	4
F17C	3399
F17D	1279
F21H	1
F21K	7146
F21L	1658
F21S	13562
F21V	22508
F21W	6149
F21Y	16722
F22B	1923
F22D	198
F22G	179
F23B	185
F23C	1895
F23D	3055
F23G	1177
F23H	52
F23J	1325
F23K	815
F23L	1057
F23M	737
F23N	1881
F23Q	663
F23R	3993
F24B	410
F24C	3321
F24D	1987
F24F	10931
F24H	2685
F24J	5
F24S	3394
F24T	327
F24V	265
F25B	10341
F25C	1708
F25D	7817
F25J	1559
F26B	2765
F27B	2164
F27D	2610
F27M	42
F28B	369
F28C	468
F28D	8691
F28F	8873
F28G	453
F41A	5468
F41B	2391
F41C	2451
F41F	395
F41G	3494
F41H	3435
F41J	764
F42B	4896
F42C	974
F42D	852
G01B	19480
G01C	28079
G01D	13282
G01F	11563
G01G	3152
G01H	2630
G01J	15050
G01K	7158
G01L	11202
G01M	11977
G01N	106093
G01P	7184
G01Q	1346
G01R	49724
G01S	40525
G01T	6367
G01V	13872
G01W	1236
G02B	103901
G02C	5675
G02F	51879
G03B	20651
G03C	647
G03D	144
G03F	26846
G03G	35970
G03H	2322
G04B	2153
G04C	970
G04D	200
G04F	1307
G04G	2128
G04R	666
G05B	34491
G05D	23726
G05F	8728
G05G	2564
G06C	29
G06D	7
G06E	126
G06F	467019
G06G	734
G06J	68
G06K	88802
G06M	311
G06N	28993
G06Q	129640
G06T	90672
G07B	2036
G07C	15355
G07D	3295
G07F	22920
G07G	2416
G08B	22267
G08C	5997
G08G	19064
G09B	11727
G09C	1466
G09D	27
G09F	9362
G09G	51069
G10B	34
G10C	303
G10D	2166
G10F	113
G10G	692
G10H	4195
G10K	5550
G10L	26725
G11B	37219
G11C	64288
G12B	101
G16B	4125
G16C	1075
G16H	29135
G16Y	116
G16Z	4082
G21B	298
G21C	2372
G21D	628
G21F	1503
G21G	476
G21H	165
G21J	5
G21K	3167
G21Y	1
H01B	11479
H01C	2364
H01F	18645
H01G	11386
H01H	16283
H01J	26694
H01K	285
H01L	301116
H01M	47811
H01P	7161
H01Q	25724
H01R	37077
H01S	15484
H01T	2192
H02B	2461
H02G	10086
H02H	8990
H02J	38098
H02K	22953
H02M	30917
H02N	3519
H02P	14286
H02S	4798
H03B	3508
H03C	939
H03D	2159
H03F	16964
H03G	6346
H03H	12353
H03J	1371
H03K	33236
H03L	10131
H03M	23551
H04B	90947
H04H	7714
H04J	19056
H04K	1375
H04L	330025
H04M	59360
H04N	176421
H04Q	12439
H04R	26933
H04S	5786
H04T	5
H04W	186491
H05B	32190
H05C	106
H05F	443
H05G	2063
H05H	3749
H05K	60808
H99Z	1
Y02A	24255
Y02B	33081
Y02C	3660
Y02D	36547
Y02E	99939
Y02P	56482
Y02T	71508
Y02W	8367
Y04S	10566
Y10S	85489
Y10T	210363
